FID,gid,objectid,sampleno,longitude,latitude,sio2,al2o3,fe2o3,tio2,cao,mgo,mno,na2o,k2o,p2o5,loi,ba,ga,sc,v,th,pb,ni,co,rb,sr,y,zr,nb,cr,cu,zn,au,li,cs,as_,sb,bi,se,ag,be,ge,mo,sn,la,ce,pr,nd,sm,eu,tb,gd,dy,ho,er,tm,yb,lu,hf,ta,w,u,pt,pd,toposheet,in_,f,te,tl,hg,cd
45,349585,354276,55K/07/46/S/2021-22,78.367833000000005,21.319167000000000,43.649999999999999,11.529999999999999,13.350000000000000,2.360000000000000,9.039999999999999,2.890000000000000,0.130000000000000,0.910000000000000,0.500000000000000,0.210000000000000,0.000000000000000,251.000000000000000,19.000000000000000,22.000000000000000,320.000000000000000,2.000000000000000,5.000000000000000,76.000000000000000,45.000000000000000,14.957285000000001,186.000000000000000,22.000000000000000,132.000000000000000,13.000000000000000,132.000000000000000,184.000000000000000,103.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.527720000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.781968000000000,2.441974000000000,0.000000000000000,2.964647000000000,13.991453000000000,29.375793000000002,4.123025000000000,17.975888999999999,4.925783000000000,1.608180000000000,0.911473000000000,5.486431000000000,5.125187000000000,0.973069000000000,2.691363000000000,0.250000000000000,2.505697000000000,0.250000000000000,5.064122000000000,1.252230000000000,0.000000000000000,0.711635000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
46,349586,354277,55K/07/47/S/2021-22,78.392218999999997,21.321888999999999,45.189999999999998,12.289999999999999,13.180000000000000,2.150000000000000,8.770000000000000,2.840000000000000,0.140000000000000,0.850000000000000,0.230000000000000,0.160000000000000,0.000000000000000,90.000000000000000,21.000000000000000,32.000000000000000,342.000000000000000,2.600000000000000,1.000000000000000,83.000000000000000,13.000000000000000,12.240000000000000,167.000000000000000,26.000000000000000,142.000000000000000,10.000000000000000,142.000000000000000,154.000000000000000,96.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.500000000000000,1.490000000000000,0.000000000000000,2.630000000000000,12.640000000000001,28.300000000000001,4.030000000000000,17.190000000000001,4.820000000000000,1.710000000000000,0.930000000000000,4.310000000000000,5.060000000000000,0.970000000000000,2.540000000000000,0.420000000000000,2.460000000000000,0.360000000000000,3.980000000000000,0.790000000000000,0.000000000000000,0.500000000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
47,349587,354278,55K/07/48/S/2021-22,78.423028000000002,21.305472000000002,46.229999999999997,12.340000000000000,14.220000000000001,2.100000000000000,7.110000000000000,2.840000000000000,0.130000000000000,0.620000000000000,0.410000000000000,0.110000000000000,0.000000000000000,194.000000000000000,20.000000000000000,25.000000000000000,314.000000000000000,2.000000000000000,6.000000000000000,80.000000000000000,45.000000000000000,15.565899999999999,114.000000000000000,23.000000000000000,120.000000000000000,11.000000000000000,143.000000000000000,167.000000000000000,90.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,8.776479000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.716820000000000,2.922022000000000,0.000000000000000,8.553431000000000,11.760901000000000,24.100270999999999,3.514015000000000,15.066812000000001,4.147007000000000,1.344762000000000,0.783777000000000,4.820223000000000,4.784416000000000,0.933417000000000,2.556373000000000,0.250000000000000,2.462023000000000,0.250000000000000,4.119507000000000,0.996185000000000,0.000000000000000,0.569531000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
48,349588,354279,55K/07/49/S/2021-22,78.436278000000001,21.311416999999999,44.729999999999997,13.900000000000000,14.710000000000001,2.360000000000000,6.660000000000000,2.600000000000000,0.160000000000000,0.750000000000000,0.330000000000000,0.130000000000000,0.000000000000000,217.000000000000000,21.000000000000000,24.000000000000000,321.000000000000000,2.000000000000000,3.000000000000000,88.000000000000000,47.000000000000000,12.645909000000000,127.000000000000000,23.000000000000000,132.000000000000000,11.000000000000000,151.000000000000000,198.000000000000000,103.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.606483000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.748314000000000,2.282547000000000,0.000000000000000,2.626368000000000,12.826491000000001,27.602678000000001,3.860377000000000,17.227685999999999,4.775728000000000,1.558600000000000,0.903652000000000,5.517539000000000,5.316221000000000,1.013798000000000,2.803825000000000,0.250000000000000,2.633829000000000,0.250000000000000,4.574612000000000,1.016865000000000,0.000000000000000,0.553229000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
49,349589,354280,55K/07/50/S/2021-22,78.449444000000000,21.316082999999999,43.100000000000001,14.900000000000000,18.609999999999999,2.830000000000000,2.560000000000000,1.420000000000000,0.170000000000000,0.360000000000000,0.380000000000000,0.110000000000000,0.000000000000000,282.000000000000000,24.000000000000000,30.000000000000000,404.000000000000000,5.137762000000000,9.000000000000000,88.000000000000000,56.000000000000000,26.439464000000001,80.000000000000000,35.000000000000000,192.000000000000000,15.000000000000000,110.000000000000000,223.000000000000000,110.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.566511000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.162924000000000,2.420292000000000,0.000000000000000,2.406789000000000,22.573695000000001,46.590412999999998,6.339153000000000,26.756471999999999,6.845276000000000,2.078159000000000,1.211498000000000,7.864123000000000,7.075809000000000,1.355137000000000,3.795622000000000,0.593351000000000,3.575555000000000,0.523330000000000,6.341209000000000,1.205066000000000,0.000000000000000,1.269789000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
50,349590,354281,55K/07/51/S/2021-22,78.462861000000004,21.316361000000001,41.890000000000001,12.890000000000001,16.910000000000000,3.270000000000000,6.420000000000000,2.060000000000000,0.160000000000000,0.710000000000000,0.240000000000000,0.120000000000000,0.000000000000000,291.000000000000000,21.000000000000000,28.000000000000000,403.000000000000000,2.000000000000000,5.000000000000000,59.000000000000000,44.000000000000000,10.476165999999999,123.000000000000000,25.000000000000000,177.000000000000000,14.000000000000000,71.000000000000000,227.000000000000000,126.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.051971000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.870076000000000,2.407616000000000,0.000000000000000,2.251264000000000,16.367000000000001,33.001143999999996,4.863259000000000,21.405208999999999,5.670743000000000,1.822296000000000,1.020208000000000,6.517143000000000,6.025106000000000,1.120701000000000,3.116111000000000,0.250000000000000,2.932989000000000,0.250000000000000,5.936236000000000,1.271113000000000,0.000000000000000,0.694599000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
51,349591,354282,55K/07/52/S/2021-22,78.493722000000005,21.316444000000001,41.020000000000003,10.529999999999999,13.490000000000000,2.160000000000000,8.180000000000000,2.400000000000000,0.130000000000000,0.730000000000000,0.370000000000000,0.150000000000000,0.000000000000000,256.000000000000000,18.000000000000000,22.000000000000000,275.000000000000000,2.000000000000000,5.000000000000000,48.000000000000000,37.000000000000000,18.710000000000001,165.000000000000000,25.000000000000000,155.000000000000000,11.000000000000000,58.000000000000000,205.000000000000000,101.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.730000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.450000000000000,2.040000000000000,0.000000000000000,2.850000000000000,21.120000000000001,44.920000000000002,6.300000000000000,26.789999999999999,7.340000000000000,2.410000000000000,1.280000000000000,8.170000000000000,7.480000000000000,1.390000000000000,3.740000000000000,0.600000000000000,3.520000000000000,0.540000000000000,7.070000000000000,0.760000000000000,0.000000000000000,0.680000000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
52,349592,354283,55K/07/53/S/2021-22,78.257999999999996,21.332111000000001,46.670000000000002,11.380000000000001,11.470000000000001,2.230000000000000,7.200000000000000,2.920000000000000,0.140000000000000,0.750000000000000,0.900000000000000,0.130000000000000,0.000000000000000,345.000000000000000,17.000000000000000,20.000000000000000,299.000000000000000,6.680000000000000,11.000000000000000,70.000000000000000,39.000000000000000,40.100000000000001,187.000000000000000,22.000000000000000,184.000000000000000,13.000000000000000,117.000000000000000,138.000000000000000,98.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7.780000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.580000000000000,1.900000000000000,0.000000000000000,2.430000000000000,26.100000000000001,53.990000000000002,6.900000000000000,27.500000000000000,7.040000000000000,2.050000000000000,1.140000000000000,7.270000000000000,6.640000000000000,1.260000000000000,3.520000000000000,0.570000000000000,3.390000000000000,0.540000000000000,7.650000000000000,1.390000000000000,0.000000000000000,1.250000000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
53,349593,354284,55K/07/54/S/2021-22,78.274167000000006,21.323385999999999,39.570000000000000,11.859999999999999,13.730000000000000,2.390000000000000,9.260000000000000,2.470000000000000,0.140000000000000,0.830000000000000,0.280000000000000,0.140000000000000,0.000000000000000,185.000000000000000,19.000000000000000,24.000000000000000,310.000000000000000,2.000000000000000,0.000000000000000,73.000000000000000,41.000000000000000,9.330000000000000,155.000000000000000,21.000000000000000,140.000000000000000,12.000000000000000,120.000000000000000,233.000000000000000,102.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.050000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.130000000000000,2.170000000000000,0.000000000000000,2.680000000000000,15.690000000000000,32.439999999999998,4.970000000000000,21.949999999999999,6.060000000000000,2.070000000000000,1.100000000000000,7.030000000000000,6.540000000000000,1.240000000000000,3.290000000000000,0.250000000000000,3.050000000000000,0.250000000000000,6.060000000000000,1.030000000000000,0.000000000000000,0.250000000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
54,349594,354285,55K/07/55/S/2021-22,78.296396999999999,21.339617000000001,43.840000000000003,12.050000000000001,13.670000000000000,2.510000000000000,6.350000000000000,2.820000000000000,0.140000000000000,0.620000000000000,0.570000000000000,0.140000000000000,0.000000000000000,293.000000000000000,19.000000000000000,23.000000000000000,329.000000000000000,4.070000000000000,7.000000000000000,74.000000000000000,42.000000000000000,26.770000000000000,144.000000000000000,22.000000000000000,165.000000000000000,14.000000000000000,137.000000000000000,192.000000000000000,113.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5.520000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.330000000000000,2.200000000000000,0.000000000000000,2.930000000000000,19.370000000000001,42.310000000000002,5.710000000000000,24.530000000000001,6.620000000000000,2.080000000000000,1.160000000000000,7.300000000000000,6.780000000000000,1.250000000000000,3.440000000000000,0.540000000000000,3.280000000000000,0.520000000000000,7.000000000000000,1.390000000000000,0.000000000000000,0.700000000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
55,349595,354286,55K/07/56/S/2021-22,78.317389000000006,21.338471999999999,40.890000000000001,10.750000000000000,13.010000000000000,2.630000000000000,8.820000000000000,2.710000000000000,0.160000000000000,0.680000000000000,0.490000000000000,0.140000000000000,0.000000000000000,315.000000000000000,16.000000000000000,23.000000000000000,341.000000000000000,2.000000000000000,5.000000000000000,73.000000000000000,44.000000000000000,21.609999999999999,154.000000000000000,20.000000000000000,147.000000000000000,12.000000000000000,121.000000000000000,172.000000000000000,112.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5.720000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.310000000000000,2.150000000000000,0.000000000000000,2.740000000000000,18.399999999999999,40.219999999999999,5.390000000000000,23.000000000000000,6.410000000000000,1.980000000000000,1.120000000000000,6.920000000000000,6.450000000000000,1.200000000000000,3.220000000000000,0.510000000000000,3.060000000000000,0.250000000000000,6.680000000000000,1.090000000000000,0.000000000000000,0.600000000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
56,349596,354287,55K/07/57/S/2021-22,78.328556000000006,21.329249999999998,35.100000000000001,9.460000000000001,11.619999999999999,2.030000000000000,13.340000000000000,2.240000000000000,0.120000000000000,0.770000000000000,0.320000000000000,0.130000000000000,0.000000000000000,192.000000000000000,16.000000000000000,21.000000000000000,280.000000000000000,2.000000000000000,3.000000000000000,67.000000000000000,37.000000000000000,9.440000000000000,172.000000000000000,18.000000000000000,123.000000000000000,11.000000000000000,91.000000000000000,180.000000000000000,84.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5.640000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.100000000000000,1.880000000000000,0.000000000000000,3.360000000000000,15.150000000000000,31.620000000000001,4.550000000000000,19.949999999999999,5.440000000000000,1.890000000000000,0.970000000000000,5.990000000000000,5.680000000000000,1.040000000000000,2.830000000000000,0.250000000000000,2.660000000000000,0.250000000000000,5.490000000000000,0.890000000000000,0.000000000000000,0.530000000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
57,349597,354288,55K/07/58/S/2021-22,78.350663999999995,21.334700000000002,40.780000000000001,13.510000000000000,15.740000000000000,2.730000000000000,5.550000000000000,2.490000000000000,0.160000000000000,0.850000000000000,0.310000000000000,0.160000000000000,0.000000000000000,236.000000000000000,20.000000000000000,25.000000000000000,318.000000000000000,2.000000000000000,5.000000000000000,80.000000000000000,51.000000000000000,9.990000000000000,201.000000000000000,23.000000000000000,165.000000000000000,14.000000000000000,137.000000000000000,254.000000000000000,121.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.620000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.370000000000000,2.530000000000000,0.000000000000000,5.220000000000000,18.000000000000000,40.469999999999999,5.820000000000000,25.800000000000001,7.300000000000000,2.490000000000000,1.310000000000000,8.170000000000000,7.750000000000000,1.390000000000000,3.760000000000000,0.590000000000000,3.440000000000000,0.520000000000000,7.370000000000000,1.380000000000000,0.000000000000000,0.250000000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
